brick_ID,array,genotype,brick_colour,side,date_1,photo_ID_1,condition_1,area_(cm2)_1,date,photo_ID,condition_2,area_(cm2),days_between_set1_set2,growth_between_set1_set2_area_(cm2),growth_per_day_(cm2),Notes
M2B3C,C,2,3,W,10.19.17,DSCF2723,alive,1.748,06.26.18,DSCF4570,alive,2.592,250,0.844,0.003376,
M2B3C,C,2,3,N,10.19.17,DSCF2719,alive,1.349,06.26.18,DSCF4567,alive,2.451,250,1.102,0.004408,
M2B3C,C,2,3,E,10.19.17,DSCF2720,alive,1.486,06.26.18,DSCF4568,alive,4.345,250,2.859,0.011436,
M2B3C,C,2,3,S,10.19.17,DSCF2722,alive,1.547,06.26.18,DSCF4569,alive,4.661,250,3.114,0.012456,
M2B3C,C,2,3,TOP,10.19.17,DSCF2718,alive,1.847,06.26.18,DSCF4566,alive,6.356,250,4.509,0.018036,
M2B3D,D,2,3,W,10.19.17,DSCF2751,alive,2.397,06.26.18,DSCF4516,alive,3.096,250,0.699,0.002796,
M2B3D,D,2,3,S,10.19.17,DSCF2750,alive,0.861,06.26.18,DSCF4514,alive,1.806,250,0.945,0.00378,
M2B3D,D,2,3,N,10.19.17,DSCF2748,alive,1.143,06.26.18,DSCF4512,alive,3.715,250,2.572,0.010288,
M2B3D,D,2,3,E,10.19.17,DSCF2749,alive,0.625,06.26.18,DSCF4513,alive,3.797,250,3.172,0.012688,
M2B3D,D,2,3,TOP,10.19.17,DSCF2747,alive,1.656,06.26.18,DSCF4511,alive,7.537,250,5.881,0.023524,
M3B1A,A,3,1,S,10.19.17,DSCF2764,alive,1.968,06.26.18,DSCF8265,alive,6.104,250,4.136,0.016544,
M3B1A,A,3,1,E,10.19.17,DSCF2763,alive,2.114,06.26.18,DSCF8264,alive,6.296,250,4.182,0.016728,
M3B1A,A,3,1,W,10.19.17,DSCF2765,alive,3.117,06.26.18,DSCF8266,alive,12.156,250,9.039,0.036156,
M3B1A,A,3,1,TOP,10.19.17,DSCF2761,alive,3.582,06.26.18,DSCF8262,alive,14.87,250,11.288,0.045152,
M3B1A,A,3,1,N,10.19.17,DSCF2762,alive,3.906,06.26.18,DSCF8263,alive,19.92,250,16.014,0.064056,
M3B1B,B,3,1,S,10.19.17,DSCF2850,alive,1.55,06.26.18,DSCF8327,alive,4.485,250,2.935,0.01174,
M3B1B,B,3,1,N,10.19.17,DSCF2848,alive,2.031,06.26.18,DSCF8325,alive,9.45,250,7.419,0.029676,
M3B1B,B,3,1,E,10.19.17,DSCF2849,alive,1.856,06.26.18,DSCF8326,alive,11.379,250,9.523,0.038092,
M3B1B,B,3,1,TOP,10.19.17,DSCF2846,alive,4.563,06.26.18,DSCF8324,dead,NA,250,NA,NA,
M3B1B,B,3,1,W,10.19.17,DSCF2851,alive,1.45,06.26.18,DSCF8328,dead,NA,250,NA,NA,
M3B1C,C,3,1,S,10.19.17,DSCF2795,alive,1.832,06.26.18,DSCF4593,alive,2.227,250,0.395,0.00158,
M3B1C,C,3,1,W,10.19.17,DSCF2796,alive,3.481,06.26.18,DSCF4594,alive,5.238,250,1.757,0.007028,
M3B1C,C,3,1,N,10.19.17,DSCF2793,alive,2.185,06.26.18,DSCF4591,alive,4.735,250,2.55,0.0102,
M3B1C,C,3,1,E,10.19.17,DSCF2794,alive,3.944,06.26.18,DSCF4592,alive,8.745,250,4.801,0.019204,
M3B1C,C,3,1,TOP,10.19.17,DSCF2792,alive,4.157,06.26.18,DSCF4590,alive,15.318,250,11.161,0.044644,
M3B1D,D,3,1,W,10.19.17,DSCF2826,alive,1.629,06.26.18,DCF4499,alive,3.145,250,1.516,0.006064,
M3B1D,D,3,1,E,10.19.17,DSCF2824,alive,2.19,06.26.18,DCF4497,alive,8.284,250,6.094,0.024376,
M3B1D,D,3,1,N,10.19.17,DSCF2823,alive,3.544,06.26.18,DCF4496,alive,11.761,250,8.217,0.032868,
M3B1D,D,3,1,S,10.19.17,DSCF2825,alive,1.622,06.26.18,DCF4498,alive,10.23,250,8.608,0.034432,
M3B1D,D,3,1,TOP,10.19.17,DSCF2822,alive,4.331,06.26.18,DCF4495,alive,13.096,250,8.765,0.03506,
M3B2A,A,3,2,S,10.19.17,DSCF2838,alive,2.511,06.26.18,DSCF8278,alive,4.836,250,2.325,0.0093,
M3B2A,A,3,2,W,10.19.17,DSCF2839,alive,0.861,06.26.18,DSCF8279,alive,4.197,250,3.336,0.013344,
M3B2A,A,3,2,N,10.19.17,DSCF2836,alive,1.107,06.26.18,DSCF8276,alive,4.693,250,3.586,0.014344,
M3B2A,A,3,2,E,10.19.17,DSCF2837,alive,1.188,06.26.18,DSCF8277,alive,5.472,250,4.284,0.017136,
M3B2A,A,3,2,TOP,10.19.17,DSCF2835,alive,2.762,06.26.18,DSCF8275,alive,15.826,250,13.064,0.052256,
M3B2B,B,3,2,S,10.19.17,DSCF2831,alive,1.059,06.26.18,DSCF8321,alive,2.406,250,1.347,0.005388,
